,Growth,Low Risk,Low Size,Momentum,Value,Quality Income
2018-12-05,2887.153716689269,2405.177505265751,4065.6874496617434,6566.501965210402,4863.753040284494,2687.555655544277
2018-12-06,2898.964716669402,2409.7687994007765,4036.510038085438,6582.141555830945,4834.175858023992,2663.214958721611
2018-12-07,2819.9137727885914,2353.43957324987,3959.6956417130627,6427.243977365472,4727.302930901523,2645.481497871098
2018-12-10,2825.7246463123292,2361.5495009020487,3910.773011228567,6425.661632990543,4678.379647142745,2636.5949572950954
2018-12-11,2829.160318426358,2364.3830923506157,3881.058383990762,6428.585087226632,4659.73527835056,2646.4493038533797
2018-12-12,2850.1271845521737,2373.937200550236,3908.727706922797,6486.80514477169,4702.3926309074,2651.929567723651
2018-12-13,2833.3918194901858,2372.34911846921,3858.3806688855475,6449.175710204615,4650.769299112066,2664.5315612818104
2018-12-14,2789.6437376180647,2335.0682019781375,3807.3744019559326,6340.422711314787,4580.610325791415,2627.5452578189447
2018-12-17,2726.3202712635366,2282.7223630030685,3725.793446433891,6173.851662426648,4488.667759816834,2584.3166314697605
2018-12-18,2733.3925825060287,2286.6131992803184,3722.8175418014,6176.7271128755265,4480.600493488539,2545.2383953949325
2018-12-19,2689.793672945298,2256.2539652452638,3654.281852807614,6076.567709374018,4398.171983644851,2515.657370112389
2018-12-20,2644.1870831402452,2221.137092671372,3593.0102463618014,5946.400707745887,4339.24802726718,2484.6586888586958
2018-12-21,2586.681606806485,2189.0187931490923,3507.5393775599878,5824.443305132831,4235.784075567051,2465.7280950674326
2018-12-24,2529.631472243183,2132.703291296428,3430.95779380681,5675.148531122081,4137.318620301016,2382.9441194226247
2018-12-25,2529.631472243183,2132.703291296428,3430.95779380681,5675.148531122081,4137.318620301016,2382.9441194226247
2018-12-26,2663.317965821512,2225.1403308277736,3591.7251342093236,5977.944596520698,4330.748836637545,2476.37189104776
2018-12-27,2680.1455185498035,2250.402979636123,3607.1844544870296,6014.1185267433275,4360.788007807223,2496.761574147816
2018-12-28,2679.468493315166,2247.2225805129056,3598.710334573952,6003.521766881128,4352.565501570053,2491.073380469708
2018-12-31,2705.28841383254,2267.7897984168344,3627.294823784021,6066.283641376688,4383.634781199048,2499.0291091493555
2019-01-01,2705.28841383254,2267.7897984168344,3627.294823784021,6066.283641376688,4383.634781199048,2499.0291091493555
2019-01-02,2695.657740825181,2248.1564068117295,3658.7679926670226,6040.811875408059,4441.454284392268,2495.3115506114054
2019-01-03,2645.768133935587,2207.641652651551,3589.9401267689627,5906.301955225241,4367.86272304025,2458.2777902400853
2019-01-04,2738.3422206725472,2270.4789844902607,3723.870960951044,6103.27086106076,4535.015800579339,2530.2577628183126
2019-01-07,2781.8941897445916,2282.339807180092,3782.3134910159647,6180.320715128122,4585.548140314922,2543.6766316548174
2019-01-08,2812.8448653079054,2306.4725304150647,3838.4564779361435,6259.571764636407,4624.054742450815,2567.6333585716357
2019-01-09,2833.5020640377447,2317.068088051146,3887.929243490555,6309.968471737172,4680.2641986474755,2576.5838940867943
2019-01-10,2850.9330734250634,2332.0591383598526,3912.2493491115465,6330.376488847447,4696.919538104737,2594.3824575932717
2019-01-11,2855.1942911562846,2331.7451787858035,3920.2470060425326,6334.065826925916,4711.117054056084,2590.9574674443547
2019-01-14,2836.1013543900717,2316.732148324781,3915.2384314776114,6293.281838578637,4680.753587898096,2569.678007251583
2019-01-15,2867.4891969794103,2341.13995664477,3922.613886698797,6363.22903622452,4690.313383157031,2583.0225921484894
2019-01-16,2872.6954405222687,2341.0538913294254,3938.634344675021,6371.881231027714,4715.268185728934,2577.2307889751683
2019-01-17,2898.2243153815743,2360.1503772595224,3977.7759264290944,6433.363498861074,4750.774146248024,2601.8368434008585
2019-01-18,2934.417255289981,2391.0426733756,4037.579724524119,6516.681996024871,4833.827104900152,2641.74916121783
2019-01-21,2934.417255289981,2391.0426733756,4037.579724524119,6516.681996024871,4833.827104900152,2641.74916121783
2019-01-22,2890.172034472462,2371.60376681558,3951.302590471787,6422.925454695155,4750.634028344186,2608.4353794494755
2019-01-23,2891.2515109126007,2374.471463687982,3930.5201781775218,6423.201451881863,4740.843297731852,2602.015305746942
2019-01-24,2902.919121326625,2372.9264114357507,3968.2896098531464,6438.948171579007,4801.078182899268,2605.8255979982623
2019-01-25,2941.5876613274067,2387.6815876406868,4032.926581305413,6493.0041032778745,4876.080707953215,2623.0546164921725
2019-01-28,2923.616516584965,2379.1163428791783,4018.2683289454994,6455.321550017175,4857.620990655122,2605.5223581815153
2019-01-29,2913.5173441379525,2379.422101918027,4023.8915619739146,6444.16236516555,4861.340704865381,2623.5635200301726
2019-01-30,2957.9559369368885,2406.6828908773546,4064.2040579622376,6553.604188317427,4915.967300169169,2652.189897883824
2019-01-31,2985.12238077451,2431.315464761806,4073.0164733711035,6608.505871362193,4937.986149428087,2676.5142124510826
2019-02-01,2994.184251165446,2441.0829582829806,4085.65864402267,6625.595546352308,4955.5408329360935,2687.8707332347158
2019-02-04,3013.110633712789,2454.0271599837197,4105.373196103782,6664.982855635154,4975.358478726998,2692.1119915796144
2019-02-05,3021.3079994148975,2464.6662970642956,4130.509729619792,6693.841490968745,4992.73602874533,2701.413516685848
2019-02-06,3008.1252330782995,2464.220465442863,4126.976335631939,6691.659071014171,5000.924132748469,2704.114910164699
2019-02-07,2987.3094428710497,2453.318850815809,4083.73541284238,6670.6618321663045,4944.352440977288,2667.5769828642383
2019-02-08,2992.358931778341,2462.6845290658216,4082.772738840779,6715.643229717493,4924.641772543163,2679.0562021099795
2019-02-11,3005.6346161991405,2468.525640243415,4103.527880774219,6751.207237024788,4941.345544904035,2676.9668739787708
2019-02-12,3042.005864517037,2493.5998413696675,4174.723894650753,6815.611083495607,5026.3982638440875,2694.4021976294525
2019-02-13,3048.904036757154,2499.09911163812,4198.654224798439,6844.758066652869,5046.328702130628,2704.4861292603873
2019-02-14,3052.7985748950446,2491.0060605237854,4184.621382282999,6847.774873340924,5028.24578824676,2708.2325720731824
2019-02-15,3080.518768270251,2515.0329095263382,4216.700512181371,6891.126865393645,5082.525488295005,2734.5444305645597
2019-02-18,3080.518768270251,2515.0329095263382,4216.700512181371,6891.126865393645,5082.525488295005,2734.5444305645597
2019-02-19,3086.5122622465647,2511.76546838395,4237.231429128645,6895.2372255564915,5104.810652385179,2751.055428613163
2019-02-20,3082.7728940251027,2517.3407796801544,4256.971249745358,6880.769398182089,5132.023619251428,2759.9219585569704
2019-02-21,3062.380825188639,2513.549329569923,4239.495561477973,6866.069661103226,5096.087401562842,2759.374459423378
2019-02-22,3081.5267885661883,2530.74685623592,4281.051862119232,6915.651230002888,5111.070599494713,2775.877096548411
2019-02-25,3078.09405969754,2528.0802687899254,4289.53789757608,6906.112462699139,5111.462530191669,2771.959645347593
2019-02-26,3075.2258733636677,2524.950789802619,4260.21922902819,6889.357384443921,5089.528559524094,2755.499510991161
2019-02-27,3077.0810648859897,2532.6044047578666,4259.446961538203,6901.036583076879,5065.2314294553935,2757.700639702148
2019-02-28,3070.7634186626324,2536.9586816566693,4236.050076781322,6891.24262427197,5031.152926854009,2745.525076445022
2019-03-01,3086.2778934798544,2558.2366194782567,4274.421576776939,6933.482939022396,5067.989119139082,2763.957712595872
